,Review,Calification
45,"Es la mejor profesora para ver fundamentos de finanzas ya que explica muy bien ya atraves de talleres, los temas quedan muy claro.
El trabajo en final es en grupo. Los parciales son ejercicios que ya ha explicado.: Su tono de voz es muy bajo, si uno se hace atrás seguramente se pierde la mitad de lo que dice.",4.0
46,Gran profesora de entiende todos los temas y se nota el gran manejo de la profesora ,5.0
47,Es un gran profesor aunque a veces puede ser un poco aburrido,5.0
48,"Es un profesor que lo inspira a uno a estudiar Ingeniería Industrial para aportarle a la sociedad, es buena gente, a veces habla muy rápido.: Es muy dedicado con las clases, da muchos ejemplos sobre los temas de clase.: Permite que los estudiantes que llegan tarde a clase ingresen al salón, esto crea interrupciones.

",4.8
49,Clases entretenidas y fuera de lo común. : Actividades que ayudan a pensar de forma creativa: Las clases teóricas chocan mucho con las clases prácticas,5.0
50,"Profesor muy dedicado a las materias que dicta, los talleres y actividades tienen relación a la empresa real y casos que se pueden presentar en las organizaciones.  Explica los temas de producción 2 muy digeribles y con una visión muy ingenieril . Recomiendo 100% ver cualquier materia con este profesor y pese a que es joven, le gusta enseñar y compartir toda su experiencia como emprendedor. : Cómo fue monitor del profesor Luis Alejandro Rodriguez, entiende los problemas que se les presentan a los estudiantes. : Ninguna",5.0
51,"Muy buen docente, le gusta enseñar, prepara sus clases con dedicación porque usa muchos materiales para las actividades, no cobra las fotocopias de las actividades.: Prepara muy bien las actividades de clase, respeta las fechas de los parciales.: Llama a lista justo cuando uno no va a clase.",5.0
52,"Muy buena gente, pone actividades que abren la mente.: Actividades muy chéveres: Ninguno",5.0
53,"la otra reseña parece preparada por el mismo a varios no les gusto, perdió tiempo en talleres que no aportan mucho y no cubre temas importantes.: facil: la clase la hace el estudiante, el no hizo mucho",1.5
54,"Pues el man es muy bacano, buena gente pero se me hace que es muy escuelero, se la deja montar de los alumnos y sus actividades son algo infantiles, le apasiona enseñar pero la materia en realidad se me hizo poco atractiva, es un relajo y pues senti perdidos esos 3 creditos.: La nota puede quedar muy alta, cinqueable.: Son muy jartas sus clases, se la deja montar, es escuelero y sus actividades pueden llegar a ser ridiculas.
Perdida de creditos.",3.5
55,"Fue de las primeras materias que tome como electiva buscando un curso introductorio y agradable, no me quede decepcionado. Freddy es un buen docente, aunque se pase mucho usando diapositivas, logra dar temas ladrilludos de contabilidad de forma amena y la ayuda del monitor para complementar es perfecta! : - Sabe como dar un curso introductorio 
- Su experiencia profesional juega un papel importante
- Trata bien a quienes no pertenecemos a la FCE: - Los temas de contabilidad son largos y complicados",4.5
56," empezó a ser un profesor decente luego de el primer parcial, y que cancelaran muchos de los estudiantes: A veces en clase hablaba de cosas muy interesantes: No explica bien, asume que todo lo sabes ya, no responde las preguntas",3.8
57," empezó a ser un profesor decente luego de el primer parcial, y que cancelaran muchos de los estudiantes: A veces en clase hablaba de cosas muy interesantes: No explica bien, asume que todo lo sabes ya, no responde las preguntas",3.8
58,": Se aborda el programa de la materia en su totalidad.
Responde a las dudas de forma respetuosa.
Se esmera por que el estudiante entienda las temáticas abordadas.: Los parciales son netamente memorísticos.",4.7
59,"El profesor se preocupa por dar una mirada crítica y hacer la cláse práctica. Lo más importante es que con él se aprende y se le puede consultar sin problema de temas interesantes fuera de clase, el tipo sabe mucho. 
En lo personal, varias veces me acerqué con dudas y e respondió de forma respetuosa, y buscando ejemplos que me permitieran entender ...Leer más...: Crítico, buen profesor, culto, justo, : No es puntual",4.9
60,": Se abordan todos los temas del programa.
En cada clase se realiza un ejercicio para afianzar el conocimiento.",4.5
61,": Explica bien en clases. Deja llegar tarde, ayuda.: Parciales según lo que recuerde. Califica muy tacañamente",3.7
62,La clase fue muy floja. Falto al menos a 7 sesiones,2.0
63,Amplio conocimiento y visión crítica : Buenas bases para investigar y desarrolla temas organizadamente : Requiere dedicación y profundizar en lo temas.,5.0
64,"Excelente  profesora, un poco escuelera pero se nota la gran preparación y empeño en sus clases",5.0
65,"Excelente profesor. Es muy atento a la asistencia (porque hace quices), si se estudia es facil y hace muchas dinamicas para la clase",4.6
66,"Muy buena explicando, es muy madre, si se pone atención y se hacen los talleres a conciencia la materia sale fácil.",4.0
67,": claudia es buena docente, intenta explicar a profundidad los temas relacionados con Contabilidad y ciertos tratamientos contables especificos
le puedes preguntar y no se enoja, te responde de buena manera 
hace lo posible por que entiendas los temas propuestos en clase
si demuestras interés pero sacas malas notas, busca la manera de ayudarte : le molesta la mediocridad de sus estudiantes (algo normal)",4.0
68,"La profesora Claudia es una excelente profesora en mi opinión, con ella vi Fundamentos de contabilidad financiera en primer semestre y me parece que logro cubrir de una muy buena manera todos los temas del curso y nos dejo bien preparados para los siguientes semestres. En cuando a su calificación saca las notas de 3 parciales los cuales no tienen m...Leer más...: Es chistosa 
Ayuda a los que van mal
",5.0
69,": Explica bien los temas, ayuda mucho: Exige bastante",4.0
70,"Es muy buena profesora, suele ayudar a los estudiantes que no les va muy bien y tiene consideración con las notas de monitoría. En el momento que la vi, dio bonos para el parcial final y eso ayudó a que muchos lo pasáramos.",5.0
71,"Buena profe. Le gusta el tema y le molesta a los que no ponen atencion, claramente. El monitor era un fastidio. No me fui bien porque no me gusta el tema.: Buena profe: Calificaciones un poco dificiles",3.8
72,"Es un profesor muy exigente. Se nota que conoce los temas como la palma de su mano, explica muy bien y siempre está abierto a que le hagan preguntas para explicarlas. : Muy puntual. 
Demasiado organizado. 
Conoce bastante bien los temas a enseñar. 
Tiene una argumentación muy sólida. : Demasiada cáscara en parciales. 
No da ni una sola oportunidad. U",5.0
73,"German es un gran profesor, pues se esfuerza por explicar cada uno de los temas de forma clara y completa. Propone ejemplos claros y a veces complejos para poder entender mejor los temás.: -Explica con diapositivas muy completas. que luego comparte para estudio autonomo.
-Explica muy bien los temas.
-Es ordenado y cumplido.
-Se preocupa principalmente por los registros contables.: -No da oportunidades.
-En los parciales tiende a colocar muchas cascaras.
",4.0
74,"Germán es un gran docente, argumenta muy bien, tiene gran dominio del tema. Se puede aprender mucho de él. Su clase es muy buena. Usa diapositivas con los conceptos básicos del tema y él posteriormente se encarga de explicarlos. Es exigente. : Es respetuoso.
Es organizado. 
Es puntual. 
Su clase es entretenida, hace chistes relacionados con la materia.
Si no entendió muy bien un tema, siempre está dispuesto a volver a explicar. 
Se aprende MUCHO con él
: Los exámenes alternan entre semifaciles y energúmenos. Muchas cáscaras y trampas que ponen a prueba la pericia y la astucia. ",5.0
75,"Es mal docente, no respeta los horarios, da informacion y saca notas importantes a través de aplicaciónes y redes sociales de manera que son pocos los que se enteran de los talleres (solo los que estén pendientes y tengan acceso a internet) Deja parciales de muchas operaciones pidiendo hoja de trabajo y estados en menos de una hora (nadie terminó e...Leer más...",1.0
76,"El profesor hace énfasis en historia de Colombia, historia del mundo, filosofía, antropología, sociología y temas que no se tocan en una carrera como Administración de Empresas pero que tienen relación, por lo tanto me parece que es una excelente introducción para un estudiante recién egresado de bachillerato y para los que han dejado los estudios ...Leer más...: El  profesor sabe acerca muchos temas y hace la clase muy amena. Es un ser humano excepcional.  : Para quien solo quiere ver temas relacionados con Administración de las organizaciones y no más, es mejor que no vea la materia con este profesor",4.8
77,": Tiene mucho conocimiento.
Explica bien, genera interes y empatía con los estudiantes.: Se desvía del tema, sus parciales son de las lecturas y. No de lo que habla en clase
",4.3
78,: las lecturas son cheveres,4.0
79,"Aunque el profesor es una persona que conoce mucho sobre historia, tiende a perderse en los temas que se deberían tratar directamente en la asignatura. En mi caso fue muy poco lo que aprendí realmente de fundamentos de administración, pues la clase fue más de repaso historico de Colombia que del enfoque en la historia de la administración.: -Explica muy bien por medio de mapas conceptuales.
-Intenta que sus clases sean amenas para los estudiante: -Se distrae facilmente.
-Los temas que explica tienden a desenfocarse de los fundamentos de administración.
-Los parciales son literalmente las lecturas al pie de la letra.
-Las lecturas ni complementan lo que expone en clase, ni se enfocan en los temas que se deben tratar.",3.5
80,"sabe mucho, el problema es que es bastante perezoso y fresco a la hora de dar sus clases. Repite mucho un discurso que aplica tanto a los temas que sabe como a los que no. Sus parciales son principalmente de lecturas. No me parece un buen profesor.",1.5
81,": Demuestra amplio conocimiento de los temas abordados.
Se ve el programa del curso en su totalidad.
Relaciona los tópicos del curso con la actualidad colombiana.
Los parciales no son complejos y se componen de lo visto en clase.: La metodología de evaluación varia en el transcurso del semestre.
",4.6
82,"El profesor demuestra en las clases conocimiento y dominio del tema. La exposición de los contenidos mediante ejemplos cotidianos y cercanos a la realidad colombiana, así como su buen sentido del humor, son un elemento atractivo de sus clases. Por otro lado, suele faltar a clase y en ocasiones las sesiones son muy breves y parecen no estar del todo...Leer más...: -Organización en la entrega de notas
-Buen acompañamiento de la monitoría
-Discusión de problemáticas actuales relacionadas con el curso.
-Parciales no complicados
: -Inasistencia frecuente(pérdida de clase)
-En ocasiones, insuficiente preparación de la clase.",4.0
83,"Uno de los peores profesores que he tenido en la carrera. Dudo de la calidad académica de la facultad cuando este tipo de docentes tienen a su cargo materias indispensables de la carrera como lo es el curso de Control Interno.: Muy fácil de aprobar
Intenta responder dudas: Extremadamente impuntual al punto de llegar 50 minutos tarde a clase.
No se aprende mucho sobre control interno.
No respeta el cronograma que plantea inicialmente.
El material de estudio lo entrega con poco tiempo de antelación antes de las evaluaciones.
Es muy disperso en clase, lo cual se traduce en una repetición innecesaria de ejemplos y conceptos teóricos.",1.5
84,"Es la mejor profesora del programa de administración. Sus clases son muy interesantes, sabe llamar la atención del estudiante para que participe y sea activo en la materia. : Parciales fáciles. 
Trabajos fáciles. 
Retroalimentación todas las clases. ",4.9
85,"Excelente profesora, se entiende lo que explica y siempre hace retro alimentación de lo visto, los parciales no son complicados",5.0
86,: Envía las diapositivas de la clase: La clase se puede hacer algo tediosa,4.5
87,"Muy buen profesora, explica muy bien ,envía diapositivas con las cuales se estudia, al inicio de cada clase repasa lo visto en la anterior.: Excelente docente.: Nada",4.7
88,"Muy buena docente, los temas son explicados de la mejor forma y se dan a entender en su totalidad.",4.5
89,"Me atrevería a decir que es la mejor profesora del programa de administración, entiende cómo se debe enseñar, y la manera de calificar, los contenidos son interactivos y se refuerzan a través de talleres y exposiciones.: Todo",5.0
90,": Realiza un resumen de la clase pasada
Los parciales son fáciles y los califica rápido 
Utiliza bastantes ejemplos para explicar los temas 
 : Llega tarde a clase",4.0
91,": Es amable
Explica bien
Es muy, MUY fácil de pasar: Es impuntual",4.3
92,"Es muy buen profesor, siempre repasa lo visto en las sesiones anteriores, los parciales son muy fáciles, solo basta con prestar atención en la case.",5.0
93,"Es una materia bastante sencilla tanto por la dificultad para conseguir buenas notas como en el nivel de estudio autonomo, creería que lo fundamental del curso quedó  claro, la metodología del curso, almenos en los bloques de 4 horas es sencilla, el profesor  tiende a llegar tarde a clases (10-20 min), ademas como en la mayoría de estos bloques da ...Leer más...: nivel de exigencia bajo y la nota final depende 100% de parciales este ultimo es  tanto positivo como negativo  ya que la dificultad de los mismos no es muy alta """", no obstante no deja de ser alarmante depender de unas cuantas preguntas para la nota final.: ""monotonía  de las clases"" y la nota final depende 100% es alarmante depender de unas cuantas preguntas (5-15 por parcial) para la nota final.",4.0
94,"El profesor llega tarde, da la clase a la carrera y cuando ha finalizado, de repente se va sin decir nada ni despedirse. La primera clase todos nos quedamos esperando porque pensamos que había salido a atender una llamada. En general se aprende mucho y los parciales son fáciles.: Es muy acelerado y a veces se le sale lo mala gente.",3.0
95,"ENGENERAL ES UN BUEN PROFESOR, SE ESMERA POR ENSEÑARTE BIEN: Llega tarde SIEMPRE",4.2
96,Es un poco aburrida la clase apesar del conocimiento que posee el.profesor y  que se nota,4.2
97,"Excelente profesora, explica bien los temas, es puntual, concisa y siempre dispuesta a resolver dudad.",5.0
98,Explica todos los temas del programa de una manera muy fácil de entender. Los parciales son sencillos.: Parciales fáciles: No profundiza en algunos temas,5.0
99,": Explica los temas de manera sencilla
Resuelve cualquier duda de manera amable 
Los parciales son memoristicos ",4.0
100,Se preocupa mucho por cada uno de sus estudiantes,4.7
101,"Es una de las mejores profesoras que he tenido, explica todo súper bien y es muy amigable con los estudiantes. Conoce mucho el tema y lo muestra con una facilidad absoluta. 10 de 10 para esta profe : Manejo del tema, parciales con poca dificultas y muy organizada con el cronograma académico.
Las clases son muy dinámicas ",5.0
102,"Se le entiende todo lo que explica, sus parciales no son muy difíciles, aunque siento que le falta profundizar en ciertos temas.",4.4
103,"Bastante buen profesor ! 
Maneja muy bien su clase y siempre llega preparado. Sus explicaciones son claras. Ahora, no dudará en colocar un 1 o 1.5 a alguien que evidentemente haga los trabajos/presentaciones de forma mediocre.   ",4.8
104,"Se aprende un montón acerca de las operaciones necesarias que deberían enseñarse en fundamentos de finanzas. Es claro en la explicaron y muy riguroso.
A través de talleres se extiende el tema y se comprende mejor.: Enseña lo que se necesita para fundamentos de finanzas.
Es claro: Muy mala persona, es grosero con los estudiantes, los minimiza y los hace sentir estupidos.
Cascarero en quizes y parciales.
perezoso para calificar, uno no sabe su nota sino hasta el final del semestre.
No le gusta que le hagan preguntas.",1.5
105,"Es el mejor profesor de finanzas  avanzadas que tiene la FCE. En las clases el profesor  Acuña suele hacer muchas preguntas sobre temas vistos en fundamentos de contabilidad, costos y fundamentos de finanzas. Es básico tener buenas bases de contabilidad para poder entender mejor esta materia. Los parciales suelen tener respuestas muy al detalle (lo...Leer más...",5.0
106,"es en general un buen profesor, es muy accesible, y se lle puede preguntar cualquier duda, hace a los estudiantes leer bastante: da muy bien las bases de los movimientos contables: a veces se excede en sus comentarios personales",3.7
107,"Es buen profesor, y su metodología trata de ser pedagógica.
Pone Resúmenes TODAS las clases para asegurarse de que se hacen las lecturas. Dichos resúmenes son A MANO. Los parciales son a través del Moodle.",4.0
108,"Excelente docente!: Domina los temas de mercadeo.
Se esfuerza por hacer su clase entretenida.
Las lecturas que asigna son interesantes y se puede aprender mucho de ellas.
Tiene disponibilidad para responder a los estudiantes.: Ninguno, vale la pena tomar clases con este docente.",5.0
109,"La clase es muy buena. Vale la pena verla, en especial si uno no tiene formación de base en psicología o humanidades. Pone a leer bastante pero son muy interesantes las lecturas",5.0
110,"El profesor no tiene un estilo propio en el desarrollo de clases, intenta imitar todo el tiempo al profesor Carlos Paramo. Se contradice mucho y termina por cometer errores teóricos brutales que se reproducen en el acercamiento que los estudiantes realizan al Marxismo o el Estructuralismo.: Maneja material audiovisual que permite que las clases no sean aburridas.: Lecturas malas o débiles.
Desarrollo mediocre de las clases.
Dice muchas burradas cuando habla del Estructuralismo.
No es objetivo con las notas, es demasiado subjetivo, terminando por poner notas más por agrado o desagrado con los estudiantes.",2.4
111,"Unir Marxismo con Estructuralimo me parece algo problemático. Las lecturas era muy normales (no disgustaban pero tampoco enamoraban).: Usa material interactivo en sus clases, lo que hace que por lo menos no sean aburridas.: Entre los mismos estudiantes se dice que sus clases eran sosas; no era él al enseñar (imitando a Carlos Páramo) y en ocasiones confundía a los estudiantes con sus contradicciones.",3.5
112,"A pesar de que sabe mucho y sus lecturas son excelentes, es demasiado arrogante, prepotente, sus clases no dan lugar para una crítica alejada del pensamiento del ""profesor"" y menos para las preguntas. Así que es necesario participar en cada clase (ahí el resultado de mi nota final, no lo hice) y decir lo que él quiere escuchar. Resalta su trabajo e...Leer más...: Puntual. Repito los textos propuestos son excelentes.: Está obsesionado con Gregory Bateson (no sé si eso es bueno o malo :v)",3.0
113,"El profe es un erudito en cuanto a forense y antropología biológica respecta, es mas cordial y cercano en clases con pocos estudiantes. Aunque serio como profe como persona es muy agradable. A veces si le falta un poco de pedagogía lo que hace menos disfrutable sus clases: Sabe Mucho de su tema
En materias con pocos estudiantes da demasiada ayuda
Da formación extra a aquellos que muestran un interés marcado en la disciplina: Muchas diapositivas
A veces sus clases son o muy largas o muy cortas
A veces diera la impresión que no lo lee a uno
Le falta mas rigurosidad en cuanto a manejo de fuentes históricas",4.1
114,"No cumple ni la mitad del programa ni mucho menos el horario dispuesto para la  asignatura. Lee diapositivas durante toda la clase, rellenas de bibliografía propia. Cero pedagogía, apropiación por la clase e interés porque sus estudiantes aprendan. Nada cordial y no se toma la molestia de orientar a sus estudiantes frente a las preguntas que tienen...Leer más...: El estudiante debe ser muy autónomo, me faltó interés para dejar la materia más alta.: No debería volver a dictar esa materia, al parecer en otras es mucho mejor.
Es una vergüenza para la pedagogía.",1.0
115,"Las lecturas son muy buenas, vale la pena aprovechar el potencial bibliográfico de las materias. El profesor es muy desordenado con todo, tanto con notas como con las salidas de campo y hasta con el desarrollo de las clases, pero las clases son provechosas ya que si deja de divagar, hablando sobre su vida y anécdotas, logra ser critico con conceptos arqueológicos.",3.0
116,"Al profe o lo estiman en demasía o lo detestan con ahincó. Sus lecturas son muy buenas, sus salidas de campo demasiado provechosas. Sus clases a veces redundan en sus experiencias y anécdotas o sobre un mismo tema sin abordar de lleno las temáticas de la clase. Si se aprende a aprovechar a l profe se aprende mucho, si se toma  la clase como un camarón no se aprende un carajo.: Ayuda a los estudiantes no solo con las cosas academicas sino en diversos problemas que se le presenten
Buenas lecturas, Buenas salidas de campo
Una perspectiva interesante de la Arqueología que lo deja pensando a uno muchas cosas: Es muy negrero
A veces tiene un malgenio que no se lo aguanta nadie
Sus monitores llegan a ser rajones
Un poco desordenado con las notas",4.8
117,": Se aprende mucho
Se sale de campo y no solo a pasear, se hacen practicas de campo memorables.
No es tan laxo al calificar 
Esta rayado con el mundo: Es mediogrosero en sus modales veces le falta un poco de compasión
Enseña casi los mismos temas aunque sean clases distintas
Esta rayado con el mundo
",4.5
118,"Muy buen profesor, se aprende mucho desde las distintas teorías de la arqueología. : El profesor presenta una excelente coyuntura entre los temas y las realidades sociales",5.0
119,La clase claramente cumple con el objetivo de dar atisbos al manejar la Antropología fuera de la academia. : Siempre está pendiente del estudiante; trata de dar las lecturas; es amable; y culminó el programa planteado desde un comienzo.: Siendo objetivo: SIEMPRE llegaba tarde a clase; se demoraba al entregar las notas; las clases desde las exposiciones se volvieron monótonas.,4.4
120,"El profe Vieco es muy bueno en su tema, aunque algo flojo para el trabajo docente. El profe en las clases se esfuerza por conectar lo que se lee o aborda con la realidad del país, dando insumos desde su experiencia laboral y de vida.
Sus lecturas son buenas, permiten que uno averigüe mucho más de cada tema y en verdad es muy relajado con los trabaj...Leer más...: Buenas lecturas.
Excelente salida de campo.
Buenos invitados.
Fácil de pasar.
: Llega tarde a clase.(aunque tiene que ver con su enfermedad)
Si no se participa se vuelven muy monótonas sus clases.

",3.5
121,"Es muy cordial y sabe mucho. : Más de la mitad del semestre son exposiciones que se tornan aburridas. Quizá en otras asignaturas es mejor docente, siempre se subestima al primíparo.",4.0
