,Review,Calification
10,"Es muy formal en sus explicaciones, responde las dudas bien pero va muy rápido en clase y es difícil entenderle. Se puede dejar alta si se estudia.Pros: Formal y detallado
Evalua lo que enseñaCons: Difícil entenderle
Va muy rápido",4
11,"Corre en la clase, ni voltea a mirar. 
Califica muy suave.
Es altamente probable que salga sin saber lo que se necesita.Cons: En general, todo.",1.5
12,"En todas sus clases habla en un tono en el que es imposible escucharlo,deja tareas demasiado complicadas y no las recibe con un mínimo de tardanza.Pros: No son tan difíciles los parciales Cons: Los parciales son demostrativos",3
13,"Pésimo docente, habla muy bajo, escribe muy pequeño, no explica bien y tras del hecho se molesta si uno respetuosamente le pide que hable más alto o que escriba más grande. No tiene el don de enseñanza y tras del hecho no le importa los estudiantes.Pros: Es marica, creo que por eso habla tan bajoCons: Todo, puede que tenga mucha formación y títulos pero definitivamente docente no es.",1.5
14,"Pésimo profesor, parece que se esté hablando a si mismo en las clases, no resuelve dudas, siempre responde cosas ambiguas, deja tareas realizables, pero si entrega la tarea un minuto tarde no la recibe, sus parciales son trabajables so hace las tareas a conciencia. Simplemente una persoba despreciable y un profesor regular.Pros: Tareas fáciles Cons: Todo jaja",1.5
15,"Pésimo. No disfruta dar una clase;es arrogante,antipático, no se le puede hablar. Le pedí que me cambiara la nota de un parcial;nunca lo hizo, los parciales eso sí son culos.Si estudia por su cuenta no va a tener problemas para aprobar con él, pero no espere un profesor inspirador que motive a los estudiantes ni se esfuerce por explicar los temas c...Leer más...Pros: A veces pone trabajos que resultan ser desafiantes pero se aprende de ellosCons: Casi todo",2.2
16,"Lo que ya dijeron, pésimo para explicar, no se preocupa por el tono de voz, por escribir grande y si uno le pide que repita algo, que hable más alto, que repita, pone una cara de orto que a mí me daba una rabia la hpta. En las clases noté que hay veces que como que duda de lo que hace y empieza a hablar aún más abjito, cuando uno pide explicación d...Leer más...Pros: Parciales culos
A veces da aplicaciones interesantes de los tópicos que trataCons: Cuando quiere joder por los parciales culos, jode y lo clava
Apático, engreído, arrogante, en absoluto sirve para profesor
Se confunde explicando
Bota los parciales y se lo toma como si fuera nada",1.5
17,"Recomendado para aprender, deja tareas casi todas las semanas las cuales hay que entregar de forma puntual, pero son trabajables y ayudan a preparar los temas que entran en los parciales. Muchos ejercicios que aparecen en los parciales fueron antes resueltos en clase, por lo que es bueno prestar atención y tener buenos apuntes. Pros: Se aprende mucho sobre la materia.
Parciales trabajables.Cons: Quizá con tantas tareas pueda acaparar más tiempo de lo que debería.",4.5
18,"El profe Agustín es excelente profe. Es justo y comprensivo cuando uno comp estudiante tiene dificultades.  es muy exigente en cuanto a la puntualidad de llegada a clase y entrega de trabajos. tiene mucho conocimiento, sin embargo a veces divaga en temas densos donde a veces queda uno perdido.Pros: exigente y motiva al estudio de la Matemática",5
19,"Puede ser arrogante y en general explica por encima las cosas, no es amable y le parecen bobas las preguntas que para él son obvias, tiene un amor por el álgebra y es apasionado por lo que hacePros: Es apasionado y le gusta mostrar ejemplos y aplicacionesCons: Es bastante odioso para explicar y habla muy suave",3
20,"El profesor es muy loco y perdido. Llegó tarde todas las clases y no asistió ni las primeras semanas ni la última. Es alguien irresponsable pero amable y buena persona, al final cancela las peores notas y hace que la mayoría pasen. Llega tarde todas las clases a no ser que haya parcial. No se preocupe mucho si piensa que va perdiendo con el. Mejor estudie. ",2.1
21,"Es un tipo bastante amable, pero no muy buen profesor. Explica bien, pero a veces de enreda o cambia de tema porque sí. En las clases casi nunca profundiza, solo da algunos ejemplos y ya. En los parciales, quices sale lo visto en clase y en los talleres que envía, por lo que si estudia se sacan altos.Pros: Es amable para resolver dudas.
Los parciales y quices son fáciles.
Las clases son amenas.Cons: Casi siempre llega tarde, incluso falla a a algunas clases.
No profundiza.
Divaga en las explicaciones.",3.2
22,"Buen profesor, es atento, resuelve dudas, sus clases son muy claras, es muy amable.",4.6
23,"Es bastante amable y abierto a responder dudas, es muy claro con la dinámica de la clase y da bastantes ayudas si ve el esfuerzo, compromiso y participación de los estudiantes con la materia. Parciales trabajables de opción múltiple y enseña con diapositivas.Pros: Explica bien, pone talleres de los cuales saca los parciales y a veces pone bonos para subir nota.Cons: Llega tarde excepto en los días de exámenes.",4.6
24,"Buen profesor, es paciente, explica bien y da varias ayudas siempre y cuando se vea el interes y el esfuerzo",4.1
25,"Se enreda él mismo al explicar los temas. Comparte un drive con evaluaciones pasadas, de las cuales repite bastantes puntos en los parciales. Toca hacer los procedimientos tal como él los hace. Al final del semestre, solo sabía el 50% de mis notas, el resto hasta el último momento las mostró, y ya no podía hacer mucho :/Pros: 1. Drive con parciales anteriores.
2. Al final ayudó un poco con la nota.Cons: 1. Llega tarde y la primera semana no vinó.
2. Se enreda al explicar.",3
26,"Explica bien. Los puntos que salen en los quizes y parciales son los mismos que se ven en clases, en los talleres o en los parciales de semestres anteriores que deja disponibles para estudiar. Pros: *Es bastante justo con las calificaciones.
*De verdad se aprende con el.
Cons: *Es un profesor bastante perezoso.
*Puede demorar varias semanas en subir notas.
*Se pierde bastante clase con el debido a que llega tarde o a que no va, por lo tanto el estudio autónomo es importante.",4
27,"Efrain es muy amable y siempre es atento a resolver dudas entre los estudiantes. Sus parciales son puros ejercicios sacados del drive que les pasará en clase. Si deja tareas son talleres, los cuales no califica, si no revisa que se hayan entregado. Los quices son tambien ejercicios del drive. Muchas veces llega tarde, pero alcanza a mostrar todos los temas del curso.Pros: -Parciales sencillos
-Buen material para estudiar
-No deja casi tareas
-Se aprende con élCons: -Llega muchas veces tarde o simplemente no llega",4.8
28,"Es un profesor muy joven, de maestría, así mismo le falta bastante para tener la destreza de un profesor ya con recorrido, SIN EMBARGO se nota el interés que tiene por la materia y hace su mejor esfuerzo en hacer que todos entiendan, es importante entender y ayudarlo a desarrollar ese bagajePros: Entusiasta
No es muy difícilCons: Le falta experiencia",3.5
29,"Buen profesor, resuelve dudas y es amigable con el estudiante. Puede llegar a parecer perdido algunas clases debido a ciertos ejercicios, algunas veces los temas pueden ser complejos segun la explicacion que el da ya que busca mucho que se entiendan los conceptos fundamentales de estos temas, pero no hace la materia imposible, si ud es alguien que ...Leer más...Pros: Es atento con el estudiante.
Es comprensivo con las notas y ayuda bastante.Cons: Puede ser desorganizado con fechas y notas.
Puede ser dificil entender en clase.",3.8
30,"Hay que ser muy vago o ser muy malo en matemáticas para perder con él, el man deja quices para la casa y al final elimina dos, sus parciales se califican sobre 6 y no son difíciles.
En cuanto a su forma de enseñar está bastante normal.",3
31,"La complejidad de la asignatura es inconsistente, pone problemas inventados por el que no representan necesariamente lo que busca el curso, a la hora de dar notas lo hace por su propio juicio sin ningún sustento.Pros: le da un énfasis interesante a la matemática y es evidente que sabe del tema. Cons: No logra trasmitir correctamente, es grosero y poco diligente con los estudiantes. ",1.9
32,"Es un profesor que está en el lugar equivocado, no sabe explicar ni darse a entender, saca notas loquísimas de problemas imposibles, sentí que me robaron la materia más importante de la carrera. Pasar con Montoya es más de suerte que de cualquier otra cosa. Dos parciales y un trabajo en wikipedia de los cuales elige las dos mejores notas, esta vez ...Leer más...Pros: Si tiene suerte se deja alta.
Conoce muy bien los temas.Cons: Conoce los temas tan a profundidad que llega a nivel de matemáticos puros.
Se saca las notas del bolsillo.
Aburrido y monótono.",2
33,"Pesimo explicando, se enreda hasta con algunos detalles tontos. da oportunidades de dejar la materia altaPros: oportunidades de notasCons: pesimo explicando
se enreda",3
34,"Vi con el tanto discretas 1 como discretas 2, y en ambas la metodologia era la misma, una cantidad de parciales donde se promediaba entre todos y esa era la nota final, llega a quitar la peor nota, la clase es muy densa, el trata que el estudiante trascienda el tema y lo pueda entender al punto de como se aplica en el mundo y su utilidad. Seria mas...Leer más...Pros: Aprovechando las ayudas se deja alta sin mucho esfuerzo(Sin hacer parciales)Cons: Los parciales tienden a ser dificiles tirando algunos a imposibles o mal planteados, por eso las ayudas que da en el semestre",4
35,"Intentar explicar los temas con aplicaciones interesantes, saca 3 notas pero al final solo toma las dos más altas, se confunde explicando y habla con un tono de voz muy bajoPros: Pone retos opcionales para solucionar los cuales exime del parcial o da una bonificaciónCons: Se enreda explicando el tema o no sabe como expresarlo, voz baja",2
36,Habla en griego... Es difícil aprender con élPros: Da oportunidades de mejorar las notas.Cons: El exámen final es muy díficil. Deja estudiantes con 2.9,1.5
37,"Posee bastante conocimiento en matemáticas, sin embargo es pésimo transmitiendo todo lo que sabe, es confuso, asume muchas cosas, es arrogante y mal educado cuando un estudiante le pregunta algo.Pros: Es fácil pasar con el, así no se sepa mucho.
Es puntual con las notas.
Brinda la opción de hacer un trabajo a lo largo del semestre para reemplazar la peor nota entre dos parciales.Cons: Usa notación en ingles y la mezcla con español. 
Es arrogante.
Habla con un tono de voz muy bajo.",1.5
38,"El profesor sufrió de depresión y a causa de esto su tono de voz es muy bajo, hay que prestarle mucha atencion, exime para el ultimo parcial si tiene buenas notas hace tres parciales y un trabajo escrito de las aplicaciones de la materia en su carrera Pros: Se deja altaCons: No se aprende lo suficiente",4
39,"Pésimo manejo de clase, las hace extremadamente largas y tediosas, los parciales son complejos y requieren mucho conocimiento de los temas, nunca sigue el libro guiá. Su tono de voz se siente como si odiara la materia que dicta. Pros: Puntual
Avisa con tiempo al calificarCons: Pésimo manejo de clase
Difícil de seguirle la corriente
Lenguaje muy matemático",1.5
40,"Es un muy buen profesor, atiende todas las dudas, es bastante flexible con su forma de calificar y explica de forma bastante comprensiva. da prioridad al aprendizaje que a la nota.Pros: Es fácil desde que uno estudie y demuestre interés por aprender. ",4.5
41,"Dicta los temas de manera muy matemática, con énfasis en que los estudiantes entiendan la razón y el fundamento de las cosas. Los temas son interesantes  pero las clases so volvían tediosas por su tono de voz y manera de explicar. Ayuda mucho con la calificación, le interesa más que los estudiantes razonen sobre lo que hacen y encuentren soluciones sustentadas.Pros: El énfasis matemático que da es muy importante dada la materia.Cons: Su actitud y tono de voz pueden volver la clase muy tediosa y larga.",4.5
42,"El profesor  se esfuerza por demostrar aplicaciones prácticas de los temas que incluye el plan de estudio, muchas de estas aplicaciones son interesantes, desafortunadamente muchas veces deja de lado la teoría, y omite la gran mayoría de temas que se deberían ver.
Tiene un tono de voz muy bajo, algunas clases pueden ser muy aburridas o muy confusas,...Leer más...Pros: Se aprende (superficialmente) aplicaciones útiles de los temas vistos.
Se puede dejar alta fácilmente
Cons: No se aprende lo suficiente de los temas vistos, y otros ni siquiera se tratan.
Algunas clases son muy aburridas.
Su forma de explicar suele ser muy confusa.",3.5
43,"Pros: Muestra aplicaciones muy interesantes y que ayudan a comprender el tema, no se conforma con dar teoremas y dejarlos ahí. ""y la materia se deja alta""Cons: Su manejo del tablero no es muy bueno",4.7
44,"Explica temas interesantes e importantes, esforzándose por que sus estudiantes entiendan. Pero por su dinámica de clase, esta se puede tornar algo aburrida con facilidad. Calificaba con 7 parciales dejando las 5 mejores notas para la definitiva.Pros: Explica todos lo temas con bastante interés con que sus estudiantes entiendan.Cons: La clase puede tornarse lenta y tediosa.",4
45,"En general buen profesor. Hay que estudiar bastante por cuenta propia, pero lo explicado en clase como base es bastante bueno.  Pros: Respeta las reglas de juego acordadas al inicio. Incluso da varias oportunidades de mejorar la nota.  Cons: Su tono de voz no ayuda. Alguna vez colocó un ejercicio de complejidad bastante mayor a los que había explicado.  ",4
46,"Ricardo explica muy bien el tema, es demasiado riguroso, prepara muy bien las clases y deja muy claro los temas vistos. El problema es que es demasiado exigente calificando y los puntos de sus parciales comen mucho tiempo resolviendolos, en dos horas casi no alcanzas. Hay que estudiar mucho y hacer todos los puntos de sus talleres.Pros: Explica muy bien y resuelve dudasCons: Sus exámenes largos.",4
47,"Muy buen profesor 
Quedan bases muy solidas, pero requiere mucha dedicación.
El único defecto sobresaliente es que llegó entre 10 y 30 minutos tarde a clase todo el semestre (Incluso en parciales).
Pros: - Tiene mucha experiencia.
-  Da ejemplos muy prácticos.
- Envía talleres por cada tema trabajado.
- Tiene disposición a atender dudas y se deja hablar.Cons: - Cuando se le salta la chispa es arrogante.
- Muy exigente calificando.",4
48,"Pros: Muy profesional enseñando, bastante formal y quedan muy buenas bases con el.Cons: Demasiado exigente en sus calificaciones",5
49,"El profesor es muy bueno explicando pero es terrible calificando. Tienes que estudiar demasiado por tu cuenta para aprobar. Además, si el punto no está perfecto te puede quedar en 0. Es muy complicado aprobarle y las notas suelen ser muy bajasPros: Muy organizado
Explica muy bienCons: Califica horrible
Aveces tiene una actitud muy pedante para dar la clase y atender dudas.",2
50,"Explica muy bien, pero pareciera que no deseara que sus estudiantes aprueben.
Pros: Explica bienCons: Duro calificando",4
51,"El profe es amable y es pilo, pero cuando veía clase con él llegaba media hora tarde incluidos los parciales. Hace quices opcionales para subir las notas pero dos parciales tienen un nivel  pesadoPros: Tú decides que quices entregar y cuáles noCons: Llega tarde y los parciales son difíciles",4
52,"Buen profesor, hace los temas entendibles y los parciales son trabajablesPros: Buena genteCons: llega tarde",4
53,"El peor profesor que he tenido en mi carrera. Este hombre llegaba tarde a la clase, salía temprano, se notaba a leguas que no preparaba su clase y explicaba las cosas bien por encimita. Cuando llegaba, explicaba el tema nuevo, y ponía un ejercicio muy, muy sencillo para tratar de explicar el tema. Ala siguiente clase, se inventaba un ejercicio para...Leer más...Cons: No explica
Parciales con cosas nunca vistas
Impuntual",1
54,"Explica lo más ameno que puede, hace las clases interesantes y es muy paciente con los estudiantes.Pros: Cuando uno se equivoca en un punto de un examen, quiz o taller; él le vale algo.Cons: Parciales largos. ",4
55,"El mejor profesor que he tenido hasta el momento;es muy amable, sus clases son entretenidas,es paciente explicando los temas, permite que todos los estudiantes participen;en fin todo ventajas.En definitiva, es un profe que disfruta mucho la docencia y la practica con cariño,siempre lo recomendaré.Cons: Entiendo que su ritmo de enseñanza puede ser un poco frenético para algunas personas.",4.5
56,"Es excelente. La clase es bastante entretenida y se aprende mucho. Es algo duro en la calificación de los parciales, pero se deja dialogar. Las tareas semanales sirven mucho. Pros: El profesor lo deja a uno con muy buenas bases. 
Es muy atento con las dudas de los estudiantes. Mucha gente asistía a los horarios de atención y él siempre los recibía. 
Acepta cualquier pregunta por más ""tonta"" que parezca. Cons: En la parte de combinatoria arrancó a toda. Creo que muchos nos perdimos ahí.
En los parciales en ocasiones deja temas que se trabajaron muy poco en clase. ",4.5
57,"Excelente profesor, deja tareas semanales con ejercicios que ayudan a reforzar los temas, le rinde la clase, hace la clase amena y se interesa por resolver las dudas de los estudiantes, incluso si no lo sabe en el momento hace la ""tarea"" de resolver la inquietud, se nota que ama lo que hacePros: se apasiona por la clase
conoce del tema
(todo lo que dije anteriormente)Cons: es un poco duro calificando",4.7
58,"Es un profesor con una actitud muy chévere, es amable y es muy inteligente además de que tiene paciencia y pregunta si todos entendieron, hace quices y parciales según lo visto en clase pero pueden tener un nivel, deja tareas semanales y ayudan a subir la nota si se hace bienPros: Es bien guapo y tiene un buen dominio del tema, sus clases no son aburridas, usa ejemplos y deja talleres en la página web.Cons: No rebaja ni una, es muy estricto para calificar y no da ayudas.",5
59,"Un excelente profesor: 
Esta dispuesto a aclarar cualquier duda.
Nunca pasa por menos la opinión de cualquiera de sus estudiantes, se interesa en que TODOS participen, en escuchar la idea para una demostración de quien este dispuesto a hablar.
Trata y logra ir más allá de los temas propuestos para esta materia.
Geniales explicaciones para la parte ...Leer más...",5
60,"Buen profesor, se toma el tiempo para explicar los temas vistos en clase, se basa en dos libros guias de los cuales deja ejercicios por cada tema que son muy similares a los de los parciales, deja ejercicios bonus que sube punto en los quicez.
Califica lo justo, y si el punto esta mal pero estuvo cerca le vale algo",4.4
61,"Es buen profesor atiende todas las dudas de sus estudiantes, pero pone a menudo ejercicios en clase que no son tan inmediatos de sacar. Y en los parciales a veces pone ejercicios de temas que vimos muy poco y que no dejó mucho en las tareasPros: Atiende las dudas de sus estudiantesCons: Las cosas que deja en las tareas muchas veces no son las que salen en los parciales",3.1
62,"Explica muy bien los temas de la clase y es atento a las preguntas de los estudiantes, maneja todos los temas del curso, manda ejercicios del libro guia del cual saca 4 de 5 puntos de los parciales.Cons: Un poco duro para calificar. ",4.1
63,"Explica bien y es muy amable, pone ejercicios en clase de práctica pero el nivel de los que pone en los parciales es mucho mayor. A veces ayuda un poco sobre el final del curso con evaluaciones adicionales. Pros: Amable y explica bien.Cons: Explica rápido y sus parciales son difíciles, muchos le cancelan si ven otra materia con él.",4
64,"Malísimo. El profesor en general tiene una actitud despectiva con sus estudiantes: los pordebajea cuando quiere, se les burla y no trata de entender por qué sacan malas notas. Siempre su excusa es que el estudiante no estudia suficiente. No piensa, por ejemplo, que él enseñe mal o algo por el estilo. Se la pasa leyendo el libro en clase. En realida...Leer más...Pros: El parcial siempre sale del libro y todos los semestres hace los mismos. Entonces si usted sabe los puntos que usó puede hacerlos antes de entrar a clase. Cons: Machista. 
Grosero. 
No se sale del libro. 
Es pésimo docente. 
Se burla de cosas de las cuales desconoce, por precisamente no conocerlas. ",1.5
65,"Es un muy buen profesor, explica bien.Pros: 
-Dominio del tema
-La clase es amena, suele decir datos interesantes de sus experiencias y de la historia de las matemáticas.
-La clase es fiel al stewart
-Parciales trabajablesCons: 
-Al principio genera miedo
-Hay quices sorpresa casi todas las semanas durante la primera mitad del semestre,aunque no son dificiles.",4.5
66,"Es un muy buen profesor, se le entiende lo que explica, en los parciales evalúa lo que enseña haciendo que sus parciales no sean difíciles. Hace quices sin avisar lo cual sirve para estar al día en los temas que va explicando. Es muy flexible como persona, sus clases son amenas y a veces divertidas. A veces se distrae y habla cosas que no tienen na...Leer más...Pros: Parciales trabajables
Quices sencillos aunque da poco tiempo para hacerlos
Entrega calificaciones muy rápido Cons: A veces se distrae en clase.
",4.5
67,"Es un buen profesor, explica lo necesario y en los parciales no pregunta nada diferente a lo visto en clase. Lo mejor es llegar temprano porque a veces hace quiz tan pronto como inicia la clase, por lo que si se llega tarde ya le quedó ese quiz en 0.Pros: -Parciales fáciles
-Se esmera por hacer que la clase sea amena",4
68,"Habla de cosas que nada que ver, toca temas bastante delicados y suseptibles, es machista, la verdad es una persona desagradable.
Hace quiz al iniciar cada clase, pone un ejercicio corto, como la clase es a las 7am si llegas tarde es 0, todos los ejercicios que plantea son del libro, hay que estudiar bastante por su propia cuentaPros: -Es puntual con las calificaciones y demas
- intenta motivar a los estudaintesCons: -habla de cosas que no debe.
-es machista.
-sus quizes cortos de 5 minutos son muy perjudiciales para los que vivimos lejos.
",1.8
69,"Es un profesor que se nota que ama las matemáticas, sin embargo en clase divaga mucho de temas que no tienen nada que ver con la clase y se confunde bastante en clase.Los parciales salen del Stewart y hace quices cada semana Pros: -Amabilidad
-Parciales fácilesCons: -No se sale del texto guia 
-Se confunde bastante calificando ",3.5
70,"Explica lo suficiente en su clase, no se sale del libro. Hacia quices cada clase con muy poco tiempo pero ejercicios cortos. Cuenta historias que poco tienen que ver con la clase. Sus parciales son sencillosPros: Parciales facilesCons: Llego tarde la mayoria del semestre
No se sale del libro guia",3.3
71,"Todos los parciales salen del Stewart, hace quices casi por semana del tema anteriormente visto, su actitud al principio del semestre es horrible, pero cuando avanza se aligera un poco.Pros: Parciales del Stewart.Cons: Divaga mucho en la clase. ",3.5
72,"El profesor al inicio del semestre tiene una actitud horrible pero a medida que avanza el semestre su actitud es ligeramente mejor. Los parciales son fáciles.Pros: Parciales fácilesCons: La clase es muy aburrida
Tiene letra horrible
Se dispersa demasiado
Hace comentarios totalmente fuera de lugar y un tanto machistas",3
73,"Es muy buen profesor, explica bien y siempre lo hace ""con todo respeto"", lo pongo entre comillas porque es una frase típica de él, pero muy bien utilizada. Realiza parciales justos, no pregunta cosas que no se hayan estudiado, es exigente, obligatoriamente tienes que estudiar, uno de los mejores. Pros: Explica bien y es muy puntual con las calificacionesCons: No utiliza mucho la tecnología ",5
74,"Es un gran profesor, creativo, respetuoso, sus clases se entienden fácilmente. Su calidad humana lo hacen para mí el mejor profesor que conozco. 
Califica de forma justa, a tiempo, a mi correo llegaban con anterioridad las notas de parciales y finales.Pros: Sólidos conocimientos en Geometría
Carismático
Respetuoso
Puntual
Cons: Le da un poco duro las nuevas tecnologías.",5
75,"Es buen profesor aunque todas sus clases son casi calcadas del texto guía que utiliza. Los parciales los hace solamente con ejercicios del libro. Al final del semestre, realiza una pequeña actividad en la que regala puntos extra, pero la hace el día en que menos gente asiste así que mejor no faltar a clase. Los parciales los califica muy rápido (de...Leer más...Pros: Califica rápido y justo
Relaciona los temas con cosas importantes
Puntos extra al final del semestreCons: No se sale del texto guía que utiliza",4
76,"El Profesor exige bastante estudio propio para pasar la materia, le mete ganas al enseñar, pero se agradeceria un poco mas de profundidad.Pros: Clases entretenidas
Parciales faciles si se estudia
Da oportunidades para subir notaCons: Intransigente aveces
Exige demasiado estudio propio.",3
77,"Buenos días, el profesor explica bien, es complicado cogerle el ritmo al principio, los parciales son jodidos, el quiere que ustedes sean los mejores de todos los grupos y así mismo exige hasta un poco mas, es muy importante sacar buena nota en el primer parcial, ya que califica de 0 a 6, tiene que hacer cada uno de los puntos de todos los talleres...Leer más...",3
78,"Es muy buen profesor, si uno le dedica tiempo a la materia puede sacarla alta, los talleres de el son un poco difíciles pero el da horas extras para consultar y eso ayuda mucho, además de que los parciales salen de ahí ",4
79,"Pros: Explica muy claro
Puntual y organizado
Hace amena la clase
Los talleres abarcan la temática que debe ser manejada en el curso.
Los parciales son de acuerdo a lo visto en clase y a los talleres.
El espacio de consulta es amplio.
Ayuda a quien trabaja en el semestre.Cons: Si le das papaya, te la monta todo el resto de vida.
Los talleres son larguísimos y requieren mucho tiempo.",3.5
80,"La clase con el man es muy rapida, son clases en las que lo violan con informacion y solo si hace el taller afianza lo que el man enseña, el man en clase le da un mar de conocimientos de 1 cm, pero de lo que haga del taller determina que tanta profundidad le da, las clases son muy amenas y divertidas co n sus historias mks pero le recomiendo meterl...Leer más...Pros: -Talleres de tiempo pero que esnseñan muchisimo

-Parciales sobre 6,0, haciendo el taller a conciencia se asegura un 3 y muy buenas posibilidades de dejarlo sobre 4,5 

-Da mucho tiempo para asesorias, en  nuestro caso martes de 2 a 7 pm

-Parciales que salen del taller y uno que otro punto que le parece interesante, y como ya dije sobre 6 pero no significa que sea facilCons: -Si no hace si quiera un poco de los talleres yaper.

-talleres de mas de 170 puntos por tema, tiene que aprender a seleccionar hasta donde hacerlos.

-Por nada, oigame, NADA, saque el celular en clase, el parcial pasa de estar sobre 6  a 4,5 y se lo califica ""con lupa"", es decir mas de 2 es mucha ganancia",5
81,"Ufff, men, cómo te explico :v.
Fabián es muy exigente, pero se aprende con él. Items importantes:
*Si tiene bonita letra o está dispuesto a mejorarla, entonces chévere, porque le baja por la ""mala 
 presentación"" de su parcial, y créame que esas décimas duelen.
*Por el amor de Dios, haga todo el taller de ciento y pico de puntos que él deja, ya que...Leer más...",4
82,"El profesor hace sus notas para la clase al estilo nacho escribe, explica muy bien pero avanza muy rápido, no deja sacar celular en clase si lo ve con celular le baja , cuenta chistes e historias para hacer amena la clase , es muy buena persona, tiene horario de atención largo para resolver dudas, deja parciales sobre 6, son 4 parciales y antes de ...Leer más...Pros: Se aprende mucho y dus parciales son hasta 6Cons: Talleres muy largos y se puede perder muy bajo ",5
83,Pros: Sus parciales son sobre 6Cons: Sus parciales son muy dificiles,4.5
84,"Héctor es un Crack, hay que estudiar bastante pero vas a entender todo, si te gusta el rigor de la matemática no metas con él, ya que le la da más importancia a que aprendas(explica con muñecos) y pasa errores lógicos por alto, enseña todos los temas a velocidad de la luz pero eso no implica que no aprendas , deja talleres  súper completos de 200 p...Leer más...Pros: Aprendes todo el temario, te ríes en la claseCons: Talleres largos y parciales largo y pesaditos",4
85,"A este profesor le da pereza escribir, por lo tanto lleva diapositivas para la clase, las cuáles lee demasiado rápido como para lograr captar una idea, explica los temas al brochazo, y por salir del paso. A él no le apasiona lo que hace y me parece muy raro que siendo un profesor tan malo tenga posdoctorado. Por otro lado, él antes calificaba talle...Leer más...",2.2
86,"Explica bien cuando va a su ritmo, y aclara todas las dudas.
El problema es cuando se acelera y empieza a meter mucho tema en poco tiempo y quedan muchos vacíos. 
Es joven, sin duda le falta experiencia, cosas por mejorar, pero no considero que sea mala profesora.
Hace quiz semanal.Cons: Se acelera al explicar cuando se acercan fechas de exámenes.",3
